index,elapsed_time,time,temp
560,16856.97,787578.328,23.65
561,16887.06,787608.421,23.73
562,16917.17,787638.531,23.73
563,16947.27,787668.625,23.74
564,16977.38,787698.734,23.68
565,17007.47,787728.828,23.64
566,17037.58,787758.937,23.67
567,17067.67,787789.031,23.61
568,17097.78,787819.14,23.63
569,17127.88,787849.234,23.63
570,17157.98,787879.343,23.62
571,17188.08,787909.437,23.67
572,17218.19,787939.546,23.69
573,17248.28,787969.64,23.67
574,17278.39,787999.75,23.63
575,17308.48,788029.843,23.67
576,17338.59,788059.953,23.72
577,17368.69,788090.046,23.67
578,17398.8,788120.156,23.72
579,17428.89,788150.25,23.63
580,17459.0,788180.359,23.69
581,17489.09,788210.453,23.69
582,17519.2,788240.562,23.68
583,17549.3,788270.656,23.63
584,17579.41,788300.765,23.68
585,17609.5,788330.859,23.68
586,17639.61,788360.968,23.68
587,17669.7,788391.062,23.66
588,17699.81,788421.171,23.66
589,17729.91,788451.265,23.65
590,17760.02,788481.375,23.67
591,17790.11,788511.468,23.65
592,17820.22,788541.578,23.66
593,17850.33,788571.687,23.67
594,17880.42,788601.781,23.61
595,17910.53,788631.89,23.59
596,17940.62,788661.984,23.62
597,17970.73,788692.093,23.66
598,18000.83,788722.187,23.66
599,18030.94,788752.296,23.67
600,18061.03,788782.39,23.68
601,18091.14,788812.5,23.71
602,18121.23,788842.593,23.66
603,18151.34,788872.703,23.63
604,18181.44,788902.796,23.68
605,18211.55,788932.906,23.70
606,18241.64,788963.0,23.68
607,18271.75,788993.109,23.69
608,18301.84,789023.203,23.66
609,18331.95,789053.312,23.69
610,18362.05,789083.406,23.61
611,18392.16,789113.515,23.65
612,18422.25,789143.609,23.65
613,18452.36,789173.718,23.65
614,18482.45,789203.812,23.67
615,18512.56,789233.921,23.63
616,18542.66,789264.015,23.68
617,18572.77,789294.125,23.63
618,18602.86,789324.218,23.67
619,18632.97,789354.328,23.66
620,18663.06,789384.421,23.69
621,18693.17,789414.531,23.66
622,18723.28,789444.64,23.67
623,18753.38,789474.734,23.68
624,18783.48,789504.843,23.65
625,18813.58,789534.937,23.68
626,18843.69,789565.046,23.66
627,18873.78,789595.14,23.70
628,18903.89,789625.25,23.67
629,18933.98,789655.343,23.64
630,18964.09,789685.453,23.70
631,18994.19,789715.546,23.66
632,19024.3,789745.656,23.66
633,19054.39,789775.75,23.66
634,19084.5,789805.859,23.65
635,19114.59,789835.953,23.69
636,19144.7,789866.062,23.65
637,19174.8,789896.156,23.70
638,19204.91,789926.265,23.64
639,19235.0,789956.359,23.64
